# Table S4. Top-100 co-expression partners of Rv2516c in each of the two expression compendia used for the genome-wide, unbiased co-expression scan (3,911 genes each), ranked by Spearman correlation within each compendium. The top-50 subset used for the hypergeometric enrichment test against the four curated regulons (DosR, SigH, SigF, and the union of Rv2516c's five known upstream regulators) is flagged in the top50 column.
compendium	rank	partner_locus	product	spearman_r	p_value	q_BH	top50
GSE71200	44	Rv0268c	hypothetical protein	0.3513	2.219e-04	8.514e-03	yes
GSE71200	45	Rv2539c	shikimate kinase	0.3495	2.402e-04	8.876e-03	yes
GSE71200	46	Rv1460	transcriptional regulator	0.3495	2.408e-04	8.876e-03	yes
GSE71200	47	Rv1602	imidazole glycerol phosphate synthase subunit HisH	0.3491	2.443e-04	8.876e-03	yes
GSE71200	48	Rv3289c	transmembrane protein	0.3485	2.512e-04	8.941e-03	yes
GSE71200	49	Rv0244c	acyl-CoA dehydrogenase FadE5	0.3461	2.789e-04	9.656e-03	yes
GSE71200	50	Rv2643	arsenic-transport integral membrane protein ArsC	0.3444	2.997e-04	1.020e-02	yes
GSE71200	51	Rv2225	3-methyl-2-oxobutanoate hydroxymethyltransferase	0.3439	3.063e-04	1.022e-02	no
GSE71200	52	Rv2886c	resolvase	0.3438	3.082e-04	1.022e-02	no
GSE71200	53	Rv1486c	hypothetical protein	0.3426	3.248e-04	1.046e-02	no
GSE71200	54	Rv2374c	heat-inducible transcription repressor HrcA	0.3418	3.362e-04	1.061e-02	no
GSE71200	55	Rv1874	hypothetical protein	0.3408	3.505e-04	1.089e-02	no
GSE71200	56	Rv0711	arylsulfatase AtsA	0.3370	4.110e-04	1.227e-02	no
GSE71200	57	Rv0276	hypothetical protein	0.3355	4.392e-04	1.268e-02	no
GSE71200	58	Rv3189	hypothetical protein	0.3354	4.405e-04	1.268e-02	no
GSE71200	59	Rv2016	hypothetical protein	0.3341	4.645e-04	1.307e-02	no
GSE71200	60	Rv2025c	cation efflux system protein	0.3315	5.190e-04	1.417e-02	no
GSE71200	61	Rv0188	transmembrane protein	0.3313	5.216e-04	1.417e-02	no
GSE71200	62	Rv1646	PE family protein PE17	0.3310	5.280e-04	1.420e-02	no
GSE71200	63	Rv2664	hypothetical protein	0.3310	5.298e-04	1.420e-02	no
GSE71200	64	Rv3574	HTH-type transcriptional regulator KstR	0.3292	5.685e-04	1.473e-02	no
GSE71200	65	Rv1587c	hypothetical protein	0.3282	5.927e-04	1.506e-02	no
GSE71200	66	Rv1151c	NAD-dependent protein deacylase	0.3273	6.154e-04	1.529e-02	no
GSE71200	67	Rv1381	dihydroorotase	0.3269	6.250e-04	1.529e-02	no
GSE71200	68	Rv3334	MerR family transcriptional regulator	0.3267	6.300e-04	1.529e-02	no
GSE71200	69	Rv0345	hypothetical protein	0.3262	6.449e-04	1.529e-02	no
GSE71200	70	Rv1258c	multidrug-efflux transporter	0.3257	6.561e-04	1.529e-02	no
GSE71200	71	Rv1706c	PPE family protein PPE23	0.3257	6.564e-04	1.529e-02	no
GSE71200	72	Rv0586	HTH-type transcriptional regulator Mce2R	0.3253	6.664e-04	1.543e-02	no
GSE71200	73	Rv2824c	CRISPR-associated endoribonuclease Cas6	0.3246	6.855e-04	1.549e-02	no
GSE71200	74	Rv3503c	ferredoxin FdxD	0.3213	7.830e-04	1.731e-02	no
GSE71200	75	Rv3197A	transcriptional regulator WhiB7	0.3205	8.108e-04	1.772e-02	no
GSE71200	76	Rv1991c	mRNA interferase MazF6	0.3202	8.197e-04	1.782e-02	no
GSE71200	77	Rv3197	ABC transporter ATP-binding protein	0.3194	8.468e-04	1.831e-02	no
GSE71200	78	Rv0196	HTH-type transcriptional regulator	0.3179	8.988e-04	1.914e-02	no
GSE71200	79	Rv2307c	hypothetical protein	0.3178	9.002e-04	1.914e-02	no
GSE71200	80	Rv1499	hypothetical protein	0.3170	9.292e-04	1.959e-02	no
GSE71200	81	Rv3204	DNA-methyltransferase	0.3165	9.476e-04	1.959e-02	no
GSE71200	82	Rv3074	hypothetical protein	0.3164	9.511e-04	1.959e-02	no
GSE71200	83	Rv3010c	6-phosphofructokinase	0.3148	1.014e-03	2.060e-02	no
GSE71200	84	Rv2659c	prophage integrase	0.3147	1.016e-03	2.060e-02	no
GSE71200	85	Rv1985c	HTH-type transcriptional regulator	0.3138	1.053e-03	2.085e-02	no
GSE71200	86	Rv1600	histidinol-phosphate aminotransferase	0.3138	1.055e-03	2.085e-02	no
GSE71200	87	Rv1225c	hypothetical protein	0.3124	1.114e-03	2.180e-02	no
GSE71200	88	Rv2725c	GTP-binding protein HflX	0.3112	1.167e-03	2.218e-02	no
GSE71200	89	Rv3064c	integral membrane protein	0.3092	1.259e-03	2.297e-02	no
GSE71200	90	Rv2556c	hypothetical protein	0.3091	1.262e-03	2.297e-02	no
GSE71200	91	Rv3290c	L-lysine-epsilon aminotransferase	0.3091	1.265e-03	2.297e-02	no
GSE71200	92	Rv2504c	succinyl-CoA:3-ketoacid-CoA transferase subunit A	0.3090	1.268e-03	2.297e-02	no
GSE71200	93	Rv1167c	transcriptional regulator	0.3087	1.285e-03	2.309e-02	no
GSE71200	94	Rv0725c	hypothetical protein	0.3086	1.286e-03	2.309e-02	no
GSE71200	95	Rv0493c	hypothetical protein	0.3080	1.320e-03	2.348e-02	no
GSE71200	96	Rv2640c	ArsR family transcriptional regulator	0.3077	1.335e-03	2.364e-02	no
GSE71200	97	Rv0245	oxidoreductase	0.3075	1.345e-03	2.370e-02	no
GSE71200	98	Rv2913c	D-amino acid aminohydrolase	0.3068	1.380e-03	2.397e-02	no
GSE71200	99	Rv0297	PE-PGRS family protein PE_PGRS5	0.3067	1.386e-03	2.397e-02	no
GSE71200	100	Rv3069	fluoride ion transporter CrcB	0.3059	1.426e-03	2.447e-02	no
